Feature1,Feature2,Label
-0.9295284341980570,-9.86680911349293,0
-2.0645043313789200,-3.640056617084480,1
-3.718790551042210,-4.903394990138230,2
-1.3312136787987700,-9.305812464298940,0
-6.436535705963740,0.33670495865087700,3
-1.0179557703728000,-9.883335272298710,0
-0.8010773845127290,-9.971430917871760,0
-3.92818216234736,-4.353464524633710,2
-7.885738266635970,-0.12244686138148200,3
-1.6678216353606200,-4.087655677140470,1
-4.181013384993160,-5.188612192479010,2
-4.354821048618110,-4.24159363140215,2
-4.085802275586660,-4.5958718235949400,2
-1.6836076875039400,-3.525257255566010,1
-1.6993885264232300,-9.365176492440710,0
-6.97501597204582,0.6371923688702770,3
-3.9096358455209000,-4.695914186369970,2
-1.7356533248118300,-3.58217545271353,1
-1.3268105686607500,-9.783650811666720,0
-2.1117941126964700,-3.6901609142773200,1
-8.261945315963260,0.2266309672876070,3
-4.328996161506570,-4.286961157485620,2
-1.6170216720299100,-9.769150720585510,0
-3.5953422855641800,-4.974110546102890,2
-6.901244751915740,0.1387267090186880,3
-1.3859182270759500,-9.389568738750950,0
-6.837382529834230,-0.029339953883874000,3
-2.456517726098270,-3.354334766622340,1
-3.574504009489360,-5.047844816661280,2
-4.106171169603300,-4.943424471361070,2
-1.5893874613160700,-3.441748404209440,1
-4.106311947451750,-4.878401664486280,2
-1.2187983902454400,-9.693382247216330,0
-7.075518401430490,0.1254922475647760,3
-1.4986734716876300,-2.803237452882290,1
-7.414123562387210,0.4858857577798370,3
-6.776667192915350,-0.04143034432790700,3
-4.61616284162474,-5.5800040432899500,2
-1.2527853384646800,-9.268568394507060,0
-3.61594057230199,-5.250034643141000,2
-3.6411574920684200,-5.353354415910890,2
-1.2224806179806600,-9.502893297521060,0
-7.379123188246920,0.04025889384320280,3
-7.579565974862080,-0.1444458817176100,3
-7.624766810855280,0.7236443114231950,3
-7.32204448774765,0.7075936414590500,3
-1.095693920656270,-9.419418267355330,0
-1.4326366106304000,-2.82117613969835,1
-0.9455490011156030,-9.043390235633860,0
-3.8987296265745800,-4.395521592985330,2
-3.8187296585992100,-4.122000568921410,2
-3.7203549988329300,-4.705397171797860,2
-7.433739122978560,0.34062776181072800,3
-2.055259980746310,-3.358572868168370,1
-3.579541171966850,-4.754321954413500,2
-4.094609197341280,-4.532764819521560,2
-7.103682683392200,0.2576005147458680,3
-7.208904941723620,0.4205504824749870,3
-1.6899884141015800,-9.382324554679050,0
-0.9260649789671710,-3.7194261817408400,1
